post_id,title,status,City,Address
12472,WNCN,publish,"Raleigh, NC","1205 Front Street Raleigh NC"
12446,WNCT,publish,"Greenville, NC","3221 South Evans St. Greenville NC"
12413,WNTZ,publish,"Alexandria, LA","4615 Parliament Dr., Ste. 201 Alexandria LA"
12444,"WOOD WOTV WXSP-CD",publish,"Grand Rapids, MI","120 College Ave SE Grand Rapids MI"
12429,WOWK,publish,"Charleston, WV","350 Quarrier Street Charleston WV"
12396,WPHL,publish,"Philadelphia, PA","5001 Wynnefield Avenue, Philadelphia, Pennsylvania 19131, United States"
12510,WPIX,publish,"New York, NY","220 East 42nd Street, New York, NY, USA"
12470,"WPRI WNAC",publish,"Providence, RI","25 Catamore Blvd. East Providence RI"
12477,"WQRF WTVO",publish,"Rockford, IL","1917 North Meridian Road, Rockford, Illinois 61101, United States"
12432,WRBL,publish,"Columbus, GA","1350 13th Ave Columbus GA"
12383,"WREG WJKT",publish,"Memphis, TN","803 Channel 3 Drive, Memphis, Tennessee 38103, United States"
12474,WRIC,publish,"Richmond, VA","301 Arboretum Place North Chesterfield VA"
12476,WROC,publish,"Rochester, NY","201 Humboldt Street Rochester NY"
12480,WSAV,publish,"Savannah, GA","1430 East Victory Dr Savannah GA"
12518,WSNN,publish,"Sarasota, FL","2040 6th Street, Sarasota, FL, USA"
12483,"WSPA WYCW",publish,"Spartanburg, SC","250 International Dr Spartanburg SC"
12404,WSYR,publish,"Syracuse, NY","5904 Bridge Street East Syracuse, NY 13057"
12414,WTAJ,publish,"Altoona, PA","5000 6th Avenue Altoona PA"
12410,"WTEN WXXA",publish,"Albany, NY","341 Northern Blvd. Albany, NY"
12466,"WTNH WCTX",publish,"New Haven, CT","8 Elm Street, New Haven, Connecticut 06510, United States"
12493,WTRF,publish,"Wheeling, WV","96 16th Street Wheeling WV"
12486,"WTWO WAWV",publish,"Terre Haute, IN","10849 N. US Hwy 41 Farmersburg IN"
12424,WVNS,publish,"Beckley, WV","141 Old Cline Road Ghent WV"
12484,WWLP,publish,"Springfield, MA","One Broadcast Center Chicopee MA"
12492,WWTI,publish,"Watertown, NY","105 Court St. Watertown NY"
12391,"WXIN WTTV",publish,"Indianapolis, IN","6910 Network Place, Indianapolis, Indiana 46278, United States"
